Sat Apr 11 15:17:31 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 550.54.14              Driver Version: 550.54.14      CUDA Version: 12.4     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA L4                      Off |   00000000:41:00.0 Off |                    0 |
| N/A   33C    P8             15W /   72W |       0MiB /  23034MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
|   1  NVIDIA L4                      Off |   00000000:81:00.0 Off |                    0 |
| N/A   34C    P8             15W /   72W |       0MiB /  23034MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI        PID   Type   Process name                              GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Evaluation return: -14.62, best: -inf
Evaluation return: -15.00, best: -14.62
Evaluation return: -14.52, best: -14.62
Evaluation return: -28.16, best: -14.52
Evaluation return: -42.72, best: -14.52
Evaluation return: -54.41, best: -14.52
Evaluation return: -62.45, best: -14.52
Evaluation return: -68.01, best: -14.52
Evaluation return: -72.30, best: -14.52
Evaluation return: -75.29, best: -14.52
Evaluation return: -81.06, best: -14.52
Evaluation return: -89.32, best: -14.52
Evaluation return: -97.94, best: -14.52
Evaluation return: -100.75, best: -14.52
Evaluation return: -100.57, best: -14.52
Evaluation return: -99.11, best: -14.52
Evaluation return: -97.62, best: -14.52
Evaluation return: -96.70, best: -14.52
Evaluation return: -95.18, best: -14.52
Evaluation return: -94.29, best: -14.52
Evaluation return: -96.55, best: -14.52
Evaluation return: -96.36, best: -14.52
Evaluation return: -95.35, best: -14.52
Evaluation return: -95.05, best: -14.52
Evaluation return: -91.97, best: -14.52
Evaluation return: -88.93, best: -14.52
Evaluation return: -88.42, best: -14.52
Evaluation return: -87.72, best: -14.52
Evaluation return: -88.55, best: -14.52
Evaluation return: -88.34, best: -14.52
Evaluation return: -86.98, best: -14.52
Evaluation return: -85.34, best: -14.52
Evaluation return: -84.98, best: -14.52
Evaluation return: -83.97, best: -14.52
Evaluation return: -85.56, best: -14.52
Evaluation return: -87.27, best: -14.52
Evaluation return: -86.39, best: -14.52
Evaluation return: -85.57, best: -14.52
Evaluation return: -82.36, best: -14.52
Evaluation return: -80.37, best: -14.52
Evaluation return: -80.13, best: -14.52
Evaluation return: -80.56, best: -14.52
Evaluation return: -79.15, best: -14.52
Evaluation return: -77.90, best: -14.52
Evaluation return: -75.61, best: -14.52
Evaluation return: -73.40, best: -14.52
Evaluation return: -72.94, best: -14.52
Evaluation return: -71.60, best: -14.52
Evaluation return: -73.29, best: -14.52
Evaluation return: -74.13, best: -14.52
Evaluation return: -74.12, best: -14.52
Evaluation return: -72.52, best: -14.52
Evaluation return: -71.57, best: -14.52
Evaluation return: -71.62, best: -14.52
Evaluation return: -73.73, best: -14.52
Evaluation return: -76.27, best: -14.52
Evaluation return: -76.08, best: -14.52
Evaluation return: -75.72, best: -14.52
Evaluation return: -74.78, best: -14.52
Evaluation return: -73.49, best: -14.52
Evaluation return: -73.86, best: -14.52
Evaluation return: -75.38, best: -14.52
Evaluation return: -76.33, best: -14.52
Evaluation return: -77.31, best: -14.52
Evaluation return: -76.78, best: -14.52
Evaluation return: -76.60, best: -14.52
Evaluation return: -76.49, best: -14.52
Evaluation return: -77.10, best: -14.52
Evaluation return: -76.53, best: -14.52
Evaluation return: -77.45, best: -14.52
Evaluation return: -75.01, best: -14.52
Evaluation return: -73.24, best: -14.52
Evaluation return: -71.72, best: -14.52
Evaluation return: -69.93, best: -14.52
Evaluation return: -67.10, best: -14.52
Evaluation return: -64.33, best: -14.52
Evaluation return: -63.18, best: -14.52
Evaluation return: -60.88, best: -14.52
Evaluation return: -60.87, best: -14.52
Evaluation return: -58.23, best: -14.52
Evaluation return: -59.22, best: -14.52
Evaluation return: -58.87, best: -14.52
Evaluation return: -59.01, best: -14.52
Evaluation return: -58.12, best: -14.52
Evaluation return: -59.02, best: -14.52
Evaluation return: -58.98, best: -14.52
Evaluation return: -57.71, best: -14.52
Evaluation return: -59.16, best: -14.52
Evaluation return: -59.51, best: -14.52
Evaluation return: -60.36, best: -14.52
Evaluation return: -60.90, best: -14.52
Evaluation return: -60.93, best: -14.52
Evaluation return: -61.57, best: -14.52
Evaluation return: -62.55, best: -14.52
Evaluation return: -63.41, best: -14.52
Evaluation return: -63.13, best: -14.52
Evaluation return: -64.56, best: -14.52
Evaluation return: -63.80, best: -14.52
Evaluation return: -64.89, best: -14.52
Evaluation return: -64.76, best: -14.52
Evaluation return: -63.64, best: -14.52
Evaluation return: -63.70, best: -14.52
Evaluation return: -64.10, best: -14.52
Evaluation return: -62.70, best: -14.52
Evaluation return: -62.06, best: -14.52
Evaluation return: -63.68, best: -14.52
Evaluation return: -62.47, best: -14.52
Evaluation return: -62.63, best: -14.52
Evaluation return: -60.96, best: -14.52
Evaluation return: -60.51, best: -14.52
Evaluation return: -60.65, best: -14.52
Evaluation return: -60.37, best: -14.52
Evaluation return: -59.56, best: -14.52
Evaluation return: -59.24, best: -14.52
Evaluation return: -59.89, best: -14.52
Evaluation return: -58.23, best: -14.52
Evaluation return: -59.15, best: -14.52
Evaluation return: -60.39, best: -14.52
Evaluation return: -59.98, best: -14.52
Evaluation return: -59.87, best: -14.52
Evaluation return: -59.11, best: -14.52
Evaluation return: -58.21, best: -14.52
Evaluation return: -57.79, best: -14.52
Evaluation return: -56.76, best: -14.52
Evaluation return: -54.20, best: -14.52
Evaluation return: -53.61, best: -14.52
Evaluation return: -53.60, best: -14.52
Evaluation return: -51.52, best: -14.52
Evaluation return: -49.79, best: -14.52
Evaluation return: -50.26, best: -14.52
Evaluation return: -50.50, best: -14.52
Evaluation return: -51.37, best: -14.52
Evaluation return: -50.92, best: -14.52
Evaluation return: -51.38, best: -14.52
Evaluation return: -52.42, best: -14.52
Evaluation return: -50.81, best: -14.52
Evaluation return: -50.43, best: -14.52
Evaluation return: -52.16, best: -14.52
Evaluation return: -53.69, best: -14.52
Evaluation return: -51.57, best: -14.52
Evaluation return: -51.64, best: -14.52
Evaluation return: -50.93, best: -14.52
Evaluation return: -51.46, best: -14.52
Evaluation return: -53.22, best: -14.52
Evaluation return: -53.80, best: -14.52
Evaluation return: -55.43, best: -14.52
Evaluation return: -53.11, best: -14.52
Evaluation return: -50.39, best: -14.52
Evaluation return: -50.62, best: -14.52
Evaluation return: -52.80, best: -14.52
Evaluation return: -53.03, best: -14.52
Evaluation return: -52.49, best: -14.52
Evaluation return: -51.57, best: -14.52
Evaluation return: -48.58, best: -14.52
Evaluation return: -47.86, best: -14.52
Evaluation return: -46.91, best: -14.52
Evaluation return: -47.33, best: -14.52
Evaluation return: -47.34, best: -14.52
Evaluation return: -46.07, best: -14.52
Evaluation return: -43.94, best: -14.52
Evaluation return: -41.10, best: -14.52
Evaluation return: -40.74, best: -14.52
Evaluation return: -41.39, best: -14.52
Evaluation return: -43.10, best: -14.52
Evaluation return: -43.29, best: -14.52
Evaluation return: -43.93, best: -14.52
Evaluation return: -44.50, best: -14.52
Evaluation return: -46.81, best: -14.52
Evaluation return: -44.58, best: -14.52
Evaluation return: -42.37, best: -14.52
Evaluation return: -41.91, best: -14.52
Evaluation return: -42.04, best: -14.52
Evaluation return: -39.36, best: -14.52
Evaluation return: -39.29, best: -14.52
Evaluation return: -37.51, best: -14.52
Evaluation return: -36.39, best: -14.52
Evaluation return: -36.00, best: -14.52
Evaluation return: -35.29, best: -14.52
Evaluation return: -34.93, best: -14.52
Evaluation return: -35.96, best: -14.52
Evaluation return: -37.63, best: -14.52
Evaluation return: -36.22, best: -14.52
Evaluation return: -35.41, best: -14.52
Evaluation return: -34.33, best: -14.52
Evaluation return: -34.80, best: -14.52
Evaluation return: -34.23, best: -14.52
Evaluation return: -32.22, best: -14.52
Evaluation return: -28.36, best: -14.52
Evaluation return: -29.46, best: -14.52
Evaluation return: -30.10, best: -14.52
Evaluation return: -25.82, best: -14.52
Evaluation return: -25.20, best: -14.52
Evaluation return: -27.46, best: -14.52
Evaluation return: -28.02, best: -14.52
Evaluation return: -29.27, best: -14.52
Evaluation return: -27.21, best: -14.52
Evaluation return: -28.32, best: -14.52
Evaluation return: -30.57, best: -14.52
Evaluation return: -30.50, best: -14.52
Evaluation return: -30.78, best: -14.52
Evaluation return: -33.49, best: -14.52
Evaluation return: -34.32, best: -14.52
Evaluation return: -35.58, best: -14.52
Evaluation return: -35.61, best: -14.52
Evaluation return: -36.64, best: -14.52
Evaluation return: -39.32, best: -14.52
Evaluation return: -39.58, best: -14.52
Evaluation return: -39.47, best: -14.52
Evaluation return: -40.24, best: -14.52
Evaluation return: -40.04, best: -14.52
Evaluation return: -42.10, best: -14.52
Evaluation return: -42.77, best: -14.52
Evaluation return: -41.92, best: -14.52
Evaluation return: -39.28, best: -14.52
Evaluation return: -36.29, best: -14.52
Evaluation return: -32.45, best: -14.52
Evaluation return: -34.49, best: -14.52
